DATE,DAY_OF_HOLIDAY,HOLIDAY,OUT_OF_OFFICE,DOW_OUT_OF_OFFICE,OUT_OF_OFFICE_WHEN
2017-07-04,Tue,Independence Day,2017-07-04,Tue,Day of
2017-09-04,Mon,Labor Day,2017-09-04,Mon,Day of
2017-10-09,Mon,Columbus Day,2017-10-09,Mon,Day of
2017-11-23,Thu,Thanksgiving Day,2017-11-23,Thu,Day of
2017-11-24,Fri,Day After Thanksgiving,2017-11-24,Fri,Day of
2017-12-25,Mon,Christmas Day,2017-12-25,Mon,Day of
2018-01-01,Mon,New Year's Day,2018-01-01,Mon,Day of
2018-01-15,Mon,"Martin Luther King, Jr. Day",2018-01-15,Mon,Day of
2018-02-19,Mon,Presidents Day,2018-02-19,Mon,Day of
2018-05-28,Mon,Memorial Day,2018-05-28,Mon,Day of
2018-07-04,Wed,Independence Day,2018-07-04,Wed,Day of
2018-09-03,Mon,Labor Day,2018-09-03,Mon,Day of
2018-11-11,Sun,Veterans Day,2018-11-12,Mon,Monday after
2018-11-22,Thu,Thanksgiving Day,2018-11-22,Thu,Day of
2018-11-23,Fri,Day After Thanksgiving,2018-11-23,Fri,Day of
2018-12-25,Tue,Christmas Day,2018-12-25,Tue,Day of
2019-01-01,Tue,New Year's Day,2019-01-01,Tue,Day of
2019-01-21,Mon,"Martin Luther King, Jr. Day",2019-01-21,Mon,Day of
2019-02-18,Mon,Presidents Day,2019-02-18,Mon,Day of
2019-05-27,Mon,Memorial Day,2019-05-27,Mon,Day of
2019-07-04,Thu,Independence Day,2019-07-04,Thu,Day of
2019-09-02,Mon,Labor Day,2019-09-02,Mon,Day of
2019-11-11,Mon,Veterans Day,2019-11-11,Mon,Day of
2019-11-28,Thu,Thanksgiving Day,2019-11-28,Thu,Day of
2019-11-29,Fri,Day After Thanksgiving,2019-11-29,Fri,Day of
2019-12-25,Wed,Christmas Day,2019-12-25,Wed,Day of
2020-01-01,Wed,New Year's Day,2020-01-01,Wed,Day of
2020-01-20,Mon,"Martin Luther King, Jr. Day",2020-01-20,Mon,Day of
2020-02-17,Mon,Presidents Day,2020-02-17,Mon,Day of
2020-05-25,Mon,Memorial Day,2020-05-25,Mon,Day of
2020-07-04,Sat,Independence Day,2020-07-03,Fri,Friday before
2020-09-07,Mon,Labor Day,2020-09-07,Mon,Day of
2020-11-11,Wed,Veterans Day,2020-11-11,Wed,Day of
2020-11-26,Thu,Thanksgiving Day,2020-11-26,Thu,Day of
2020-11-27,Fri,Day After Thanksgiving,2020-11-27,Fri,Day of
2020-12-25,Fri,Christmas Day,2020-12-25,Fri,Day of
2021-01-01,Fri,New Year's Day,2021-01-01,Fri,Day of
2021-01-18,Mon,"Martin Luther King, Jr. Day",2021-01-18,Mon,Day of
2021-02-15,Mon,Presidents Day,2021-02-15,Mon,Day of
2021-05-31,Mon,Memorial Day,2021-05-31,Mon,Day of
2021-07-04,Sun,Independence Day,2021-07-05,Mon,Monday after
2021-09-06,Mon,Labor Day,2021-09-06,Mon,Day of
2021-11-11,Thu,Veterans Day,2021-11-11,Thu,Day of
2021-11-25,Thu,Thanksgiving Day,2021-11-25,Thu,Day of
2021-11-26,Fri,Day After Thanksgiving,2021-11-26,Fri,Day of
2021-12-25,Sat,Christmas Day,2021-12-27,Mon,Monday after
2022-01-01,Sat,New Year's Day,2022-01-03,Mon,Monday after
2022-01-17,Mon,"Martin Luther King, Jr. Day",2022-01-17,Mon,Day of
2022-02-21,Mon,Presidents Day,2022-02-21,Mon,Day of
2022-05-30,Mon,Memorial Day,2022-05-30,Mon,Day of
2022-07-04,Mon,Independence Day,2022-07-04,Mon,Day of
2022-09-05,Mon,Labor Day,2022-09-05,Mon,Day of
2022-11-11,Fri,Veterans Day,2022-11-11,Fri,Day of
2022-11-24,Thu,Thanksgiving Day,2022-11-24,Thu,Day of
2022-11-25,Fri,Day After Thanksgiving,2022-11-25,Fri,Day of
2022-12-25,Sun,Christmas Day,2022-12-26,Mon,Monday after
2023-01-01,Sun,New Year's Day,2023-01-02,Mon,Monday after
